sample_number,best_20_appearances,worst_20_appearances,total_appearances,best_20_models,worst_20_models,sample_name
047444,11,0,11,"multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, one-output Loss, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss, two-output Tversky Loss, two-output Tversky Loss small Dataset",,sample_047444
045574,10,0,10,"multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 3e-04, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss, two-output Tversky Loss small Dataset",,sample_045574
079887,0,10,10,,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05, two-output Tversky Loss",sample_079887
048727,9,0,9,"multi-output BCE/MSE Loss, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, two-output L1, two-output L1 base-channel 32, two-output Reconstruction Loss",,sample_048727
079138,9,0,9,"multi-output BCE/MSE Loss, multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 3e-04, two-output Tversky Loss",,sample_079138
043225,0,9,9,,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05",sample_043225
049582,8,0,8,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05",,sample_049582
051926,8,0,8,"multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss",,sample_051926
051959,8,0,8,"multi-output Tversky Loss, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05, one-output Loss",,sample_051959
008710,7,1,8,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05, two-output Tversky Loss",multi-output Tversky Loss base-channel 32,sample_008710
019559,0,8,8,,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 5e-05",sample_019559
072650,0,8,8,,"multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05, two-output Tversky Loss",sample_072650
073381,0,8,8,,"multi-output BCE/MSE Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05, two-output Tversky Loss",sample_073381
078401,0,8,8,,"multi-output BCE/MSE Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, one-output Loss, two-output Tversky Loss",sample_078401
045737,7,0,7,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04",,sample_045737
047224,7,0,7,"multi-output BCE/MSE Loss small Dataset, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss, two-output Tversky Loss, two-output Tversky Loss small Dataset",,sample_047224
049380,7,0,7,"one-output Loss, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss, two-output Tversky Loss, two-output Tversky Loss small Dataset",,sample_049380
000445,0,7,7,,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss batch 100, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05",sample_000445
001810,0,7,7,,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 5e-05, two-output Tversky Loss",sample_001810
044642,6,0,6,"one-output Loss, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Tversky Loss, two-output Tversky Loss small Dataset",,sample_044642
045148,6,0,6,"multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05",,sample_045148
051591,6,0,6,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 3e-04",,sample_051591
077653,6,0,6,"multi-output BCE/MSE Loss, multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss lr 1e-04, one-output Tversky Loss, two-output Tversky Loss",,sample_077653
003958,0,6,6,,"multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 5e-05",sample_003958
057275,0,6,6,,"multi-output Tversky Loss, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 20, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05",sample_057275
044855,5,0,5,"multi-output BCE/MSE Loss, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model",,sample_044855
045104,5,0,5,"multi-output Tversky Loss, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 3e-04",,sample_045104
045372,5,0,5,"multi-output BCE/MSE Loss, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss",,sample_045372
046700,5,0,5,"multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 3e-04, two-output Tversky Loss small Dataset",,sample_046700
047139,5,0,5,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss batch 20, multi-output Tversky Loss final Model, multi-output Tversky Loss lr 5e-05",,sample_047139
047328,5,0,5,"two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss, two-output Tversky Loss small Dataset",,sample_047328
047510,5,0,5,"two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss, two-output Tversky Loss",,sample_047510
047544,5,0,5,"multi-output Tversky Loss, multi-output Tversky Loss base-channel 32, multi-output Tversky Loss batch 100, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05",,sample_047544
048186,5,0,5,"multi-output BCE/MSE Loss, one-output Loss, two-output L1, two-output L1 batch 100, two-output Reconstruction Loss",,sample_048186
048883,5,0,5,"one-output Loss, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss",,sample_048883
048932,5,0,5,"one-output Loss, two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Tversky Loss",,sample_048932
049458,5,0,5,"multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, one-output Loss, two-output Tversky Loss",,sample_049458
049720,5,0,5,"multi-output Tversky Loss, multi-output Tversky Loss ReduceLROnPlateau, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05",,sample_049720
049932,5,0,5,"multi-output Tversky Loss final Model, multi-output Tversky Loss lr 1e-04, multi-output Tversky Loss lr 3e-04, multi-output Tversky Loss lr 5e-05, one-output Loss",,sample_049932
050443,5,0,5,"two-output L1, two-output L1 base-channel 32, two-output L1 batch 100, two-output Reconstruction Loss, two-output Tversky Loss",,sample_050443
